origin,destination,driving_time,from_center,to_center
"Auenbruggerplatz 29, GRAZ","Arnold-Heller-Strasse 3, KIEL",11.7736111111111,AGATP,GKITP
"Auenbruggerplatz 29, GRAZ","Marchioninistr. 15, Munich",4.74833333333333,AGATP,GMLTP
"Auenbruggerplatz 29, GRAZ","Ernst-Heydemann-Strasse 8, ROSTOCK",10.5736111111111,AGATP,GROTP
"Auenbruggerplatz 29, GRAZ","Meibergdreef 9, Amsterdam",11.5202777777778,AGATP,NAETP
"Auenbruggerplatz 29, GRAZ","Zaloska 7, LJUBLJANA",2.12027777777778,AGATP,SLOTP
"Auenbruggerplatz 29, GRAZ","Fadingerstrasse 1, LINZ",2.6175,AGATP,AOETP
"Auenbruggerplatz 29, GRAZ","Avenue de l Hopital, LIEGE",10.4775,AGATP,BLGTP
"Auenbruggerplatz 29, GRAZ","Hindenburgdamm 30, Berlin",8.55916666666667,AGATP,GBETP
"Auenbruggerplatz 29, GRAZ","Hugstetterstrasse 55, FREIBURG IM BREISGAU",8.33583333333333,AGATP,GFRTP
"Auenbruggerplatz 29, GRAZ","Joseph  Stelzmannstrasse 9, KOELN",9.28833333333333,AGATP,GKKTP
"Auenbruggerplatz 29, GRAZ","Albert Schweitzerstrasse 33, MUENSTER",10.1,AGATP,GMNTP
"Auenbruggerplatz 29, GRAZ","Transplantationszentrum, STUTTGART",6.62777777777778,AGATP,GSTTP
"Auenbruggerplatz 29, GRAZ","De Boelelaan 1117, AMSTERDAM",11.6066666666667,AGATP,NAVTP
"Auenbruggerplatz 29, GRAZ","Krankenhausstrasse 9, LINZ",2.63166666666667,AGATP,AOLTP
"Auenbruggerplatz 29, GRAZ","Ksaver 200a, Zagreb",2.33444444444444,AGATP,CHROR
"Auenbruggerplatz 29, GRAZ","St. Juergenstrasse, BREMEN",10.5641666666667,AGATP,GBMTP
"Auenbruggerplatz 29, GRAZ","Klinikstrasse 36, GIESSEN",7.90583333333333,AGATP,GGITP
"Auenbruggerplatz 29, GRAZ","Joseph-Stelzmann-Str. 9, KOELN",9.25944444444444,AGATP,GKLTP
"Auenbruggerplatz 29, GRAZ","Baldingerstrasse, MARBURG/LAHN",8.24388888888889,AGATP,GMRTP
"Auenbruggerplatz 29, GRAZ","Hoppe-Seyler-Strasse 3, TUEBINGEN",6.90083333333333,AGATP,GTUTP
"Auenbruggerplatz 29, GRAZ","Postbus 22660, AMSTERDAM",11.5841666666667,AGATP,NAWTP
"Auenbruggerplatz 29, GRAZ","Waehringer Guertel 18-20, Wien",2.22444444444444,AGATP,AWDTP
"Auenbruggerplatz 29, GRAZ","J. Huttlera 4, Osijek",4.65361111111111,AGATP,COSTP
"Auenbruggerplatz 29, GRAZ","Sigmund Freud Strasse 25, BONN-Venusberg",9.14972222222222,AGATP,GBOTP
"Auenbruggerplatz 29, GRAZ","Ernst Grube Strasse 40, HALLE/Saale",7.67138888888889,AGATP,GHATP
"Auenbruggerplatz 29, GRAZ","Ostmerheimerstrasse 200, Koln (Merheim)",9.13444444444444,AGATP,GKMTP
"Auenbruggerplatz 29, GRAZ","Langenbeckstr. 1, Mainz",7.92666666666667,AGATP,GMZTP
"Auenbruggerplatz 29, GRAZ","ZIM - Medizinische Klinik I, WUERZBURG",6.51361111111111,AGATP,GWZTP
"Auenbruggerplatz 29, GRAZ","Hanzeplein 1, Groningen",11.5230555555556,AGATP,NGRTP
"Auenbruggerplatz 29, GRAZ","Abt. Transplantation 09 D, Wien",2.25611111111111,AGATP,AWGTP
"Auenbruggerplatz 29, GRAZ","Kresimirova 42, Rijeka",3.62916666666667,AGATP,CRITP
"Auenbruggerplatz 29, GRAZ","Friedrichstrasse 10, Stuttgart",6.68555555555556,AGATP,GBWOR
"Auenbruggerplatz 29, GRAZ","Im Neuenheimer Feld 110, HEIDELBERG",7.53388888888889,AGATP,GHBTP
"Auenbruggerplatz 29, GRAZ","Hellmut-Hartert-Str. 1, KAISERSLAUTERN",8.20861111111111,AGATP,GKSTP
"Auenbruggerplatz 29, GRAZ","Maximilianspl. 2, ERLANGEN",5.52305555555556,AGATP,GNBTP
"Auenbruggerplatz 29, GRAZ","Baross u. 23-25., Budapest",3.74277777777778,AGATP,HBSTP
"Auenbruggerplatz 29, GRAZ","Albinusdreef 2, LEIDEN",11.8708333333333,AGATP,NLBTP
"Auenbruggerplatz 29, GRAZ","Wilrijkstraat 10, EDEGEM",11.1433333333333,AGATP,BANTP
"Auenbruggerplatz 29, GRAZ","Kispaticeva 12, Zagreb",2.20388888888889,AGATP,CZATP
"Auenbruggerplatz 29, GRAZ","Marchioninistrasse 15, Muenchen",4.74833333333333,AGATP,GBYOR
"Auenbruggerplatz 29, GRAZ","Martinistrasse 52, HAMBURG",11.0544444444444,AGATP,GHGTP
"Auenbruggerplatz 29, GRAZ","Liebigstrasse 20, LEIPZIG",7.6275,AGATP,GLPTP
"Auenbruggerplatz 29, GRAZ","Schiffgraben 44, Hannover",9.6075,AGATP,GNDOR
"Auenbruggerplatz 29, GRAZ","Moricz Zs. krt. 22., Debrecen",5.93055555555556,AGATP,HDBTP
"Auenbruggerplatz 29, GRAZ","P. Debyelaan 25, MAASTRICHT",10.1175,AGATP,NMSTP
"Auenbruggerplatz 29, GRAZ","Zajceva 19, Zagreb",2.21361111111111,AGATP,CZMTP
"Auenbruggerplatz 29, GRAZ","Fetscherstr. 74, DRESDEN",6.74833333333333,AGATP,GDRTP
"Auenbruggerplatz 29, GRAZ","Vogelsang 105, HANN. MUENDEN",8.40444444444444,AGATP,GHMTP
"Auenbruggerplatz 29, GRAZ","Transplantationsbuero, LUEBECK",11.1963888888889,AGATP,GLUTP
"Auenbruggerplatz 29, GRAZ","Saatwinkler Damm 11-12, Berlin",8.54916666666667,AGATP,GNOOR
"Auenbruggerplatz 29, GRAZ","Rakoczi ut 2., Pecs",4.02416666666667,AGATP,HPCTP
"Auenbruggerplatz 29, GRAZ","Geert Groote Plein 8, NIJMEGEN",10.6802777777778,AGATP,NNYTP
"Auenbruggerplatz 29, GRAZ","808 Route de Lennik, Brussels",11.2852777777778,AGATP,BBRTP
"Auenbruggerplatz 29, GRAZ","Pauwelstr. 30, AACHEN",9.84861111111111,AGATP,GAKTP
"Auenbruggerplatz 29, GRAZ","Moorenstrasse 5, DUESSELDORF",9.51638888888889,AGATP,GDUTP
"Auenbruggerplatz 29, GRAZ","Stadtfelddamm 65, HANNOVER",9.64888888888889,AGATP,GHOTP
"Auenbruggerplatz 29, GRAZ","Theodor Kutzer Ufer 1-3, MANNHEIM",7.5825,AGATP,GMATP
"Auenbruggerplatz 29, GRAZ","Lindenallee, Essen",9.78694444444444,AGATP,GNWOR
"Auenbruggerplatz 29, GRAZ","Pecsi ut 4., Szeged",5.24861111111111,AGATP,HSZTP
"Auenbruggerplatz 29, GRAZ","Dr. Molewaterplein 40, ROTTERDAM",11.8558333333333,AGATP,NRDTP
"De Pintelaan 185, GENT","Auenbruggerplatz 29, GRAZ",11.3547222222222,BGETP,AGATP
"De Pintelaan 185, GENT","De Pintelaan 185, GENT",0,BGETP,BGETP
"De Pintelaan 185, GENT","Stenglinstrasse 2, AUGSBURG",7.24527777777778,BGETP,GAUTP
"De Pintelaan 185, GENT","Hufelandstrasse 55, ESSEN",2.56361111111111,BGETP,GESTP
"De Pintelaan 185, GENT","Kirrberger Strasse Geb. 41, HOMBURG/SAAR",4.08027777777778,BGETP,GHSTP
"De Pintelaan 185, GENT","Ismaningerstr. 22, MUENCHEN",8.09611111111111,BGETP,GMHTP
"De Pintelaan 185, GENT","Walter-Koehn-str. 1A, Leipzig",7.26472222222222,BGETP,GOSOR
"De Pintelaan 185, GENT","Karolina ut 19-21., Budapest",13.1619444444444,BGETP,HUNOR
"De Pintelaan 185, GENT","Postbus 2060, ROTTERDAM",1.64861111111111,BGETP,NRSTP
"De Pintelaan 185, GENT","Anichstrasse 35, INNSBRUCK",9.11638888888889,BGETP,AIBTP
"De Pintelaan 185, GENT","10, Avenue Hippocrate, Brussels",0.753888888888889,BGETP,BLATP
"De Pintelaan 185, GENT","Universitaetsklinik, BOCHUM",2.76944444444444,BGETP,GBBTP
"De Pintelaan 185, GENT","Pacelli Allee 4, FULDA",5.35277777777778,BGETP,GFDTP
"De Pintelaan 185, GENT","Lessingstrasse 1, JENA",6.85194444444444,BGETP,GJETP
"De Pintelaan 185, GENT","Haifa-Allee 2, Mainz",4.42333333333333,BGETP,GMIOR
"De Pintelaan 185, GENT","4 Rue Barble, LUXEMBOURG",2.8025,BGETP,LLXTP
"De Pintelaan 185, GENT","Heidelberglaan 100, UTRECHT",1.92472222222222,BGETP,NUTTP
"De Pintelaan 185, GENT","Heidelberglaan 100, UTRECHT",1.92472222222222,BGETP,NUWTP
"De Pintelaan 185, GENT","St. Veiterstrasse 47, KLAGENFURT/KAERNTEN",11.3519444444444,BGETP,AKTTP
"De Pintelaan 185, GENT","Herestraat 49, LEUVEN",0.903888888888889,BGETP,BLETP
"De Pintelaan 185, GENT","Herestraat 49, LEUVEN",0.903888888888889,BGETP,BLMTP
"De Pintelaan 185, GENT","Campus Virchow-Klinikum, BERLIN",7.70472222222222,BGETP,GBCTP
"De Pintelaan 185, GENT","Universitaetsklinik, Haus 33 A, FRANKFURT/MAIN",4.42361111111111,BGETP,GFMTP
"De Pintelaan 185, GENT","Arnold-Heller-Strasse 3, KIEL",7.01916666666667,BGETP,GKITP
"De Pintelaan 185, GENT","Marchioninistr. 15, Munich",7.86638888888889,BGETP,GMLTP
"De Pintelaan 185, GENT","Ernst-Heydemann-Strasse 8, ROSTOCK",7.69194444444444,BGETP,GROTP
"De Pintelaan 185, GENT","Meibergdreef 9, Amsterdam",2.16638888888889,BGETP,NAETP
"De Pintelaan 185, GENT","Zaloska 7, LJUBLJANA",12.9288888888889,BGETP,SLOTP
"De Pintelaan 185, GENT","Fadingerstrasse 1, LINZ",9.69777777777778,BGETP,AOETP
"De Pintelaan 185, GENT","Avenue de l Hopital, LIEGE",1.69222222222222,BGETP,BLGTP
"De Pintelaan 185, GENT","Hindenburgdamm 30, Berlin",7.6725,BGETP,GBETP
"De Pintelaan 185, GENT","Hugstetterstrasse 55, FREIBURG IM BREISGAU",6.01444444444444,BGETP,GFRTP
"De Pintelaan 185, GENT","Joseph  Stelzmannstrasse 9, KOELN",2.60277777777778,BGETP,GKKTP
"De Pintelaan 185, GENT","Albert Schweitzerstrasse 33, MUENSTER",3.54444444444444,BGETP,GMNTP
"De Pintelaan 185, GENT","Transplantationszentrum, STUTTGART",6.13444444444444,BGETP,GSTTP
"De Pintelaan 185, GENT","De Boelelaan 1117, AMSTERDAM",2.24166666666667,BGETP,NAVTP
"De Pintelaan 185, GENT","Krankenhausstrasse 9, LINZ",9.65888888888889,BGETP,AOLTP
"De Pintelaan 185, GENT","Ksaver 200a, Zagreb",13.0927777777778,BGETP,CHROR
"De Pintelaan 185, GENT","St. Juergenstrasse, BREMEN",5.20583333333333,BGETP,GBMTP
"De Pintelaan 185, GENT","Klinikstrasse 36, GIESSEN",4.32944444444444,BGETP,GGITP
"De Pintelaan 185, GENT","Joseph-Stelzmann-Str. 9, KOELN",2.6075,BGETP,GKLTP
"De Pintelaan 185, GENT","Baldingerstrasse, MARBURG/LAHN",4.69916666666667,BGETP,GMRTP
"De Pintelaan 185, GENT","Hoppe-Seyler-Strasse 3, TUEBINGEN",6.38666666666667,BGETP,GTUTP
"De Pintelaan 185, GENT","Postbus 22660, AMSTERDAM",2.29111111111111,BGETP,NAWTP
"De Pintelaan 185, GENT","Waehringer Guertel 18-20, Wien",11.1322222222222,BGETP,AWDTP
"De Pintelaan 185, GENT","J. Huttlera 4, Osijek",15.0502777777778,BGETP,COSTP
"De Pintelaan 185, GENT","Sigmund Freud Strasse 25, BONN-Venusberg",2.87694444444444,BGETP,GBOTP
"De Pintelaan 185, GENT","Ernst Grube Strasse 40, HALLE/Saale",6.92805555555556,BGETP,GHATP
"De Pintelaan 185, GENT","Ostmerheimerstrasse 200, Koln (Merheim)",2.69722222222222,BGETP,GKMTP
"De Pintelaan 185, GENT","Langenbeckstr. 1, Mainz",4.40694444444444,BGETP,GMZTP
"De Pintelaan 185, GENT","ZIM - Medizinische Klinik I, WUERZBURG",5.53555555555556,BGETP,GWZTP
"De Pintelaan 185, GENT","Hanzeplein 1, Groningen",3.86138888888889,BGETP,NGRTP
"De Pintelaan 185, GENT","Abt. Transplantation 09 D, Wien",11.1852777777778,BGETP,AWGTP
"De Pintelaan 185, GENT","Kresimirova 42, Rijeka",13.2902777777778,BGETP,CRITP
"De Pintelaan 185, GENT","Friedrichstrasse 10, Stuttgart",6.27666666666667,BGETP,GBWOR
"De Pintelaan 185, GENT","Im Neuenheimer Feld 110, HEIDELBERG",5.18111111111111,BGETP,GHBTP
"De Pintelaan 185, GENT","Hellmut-Hartert-Str. 1, KAISERSLAUTERN",4.39444444444445,BGETP,GKSTP
"De Pintelaan 185, GENT","Maximilianspl. 2, ERLANGEN",6.47666666666667,BGETP,GNBTP
"De Pintelaan 185, GENT","Baross u. 23-25., Budapest",13.2652777777778,BGETP,HBSTP
"De Pintelaan 185, GENT","Albinusdreef 2, LEIDEN",2.1125,BGETP,NLBTP
"De Pintelaan 185, GENT","Wilrijkstraat 10, EDEGEM",0.735833333333333,BGETP,BANTP
"De Pintelaan 185, GENT","Kispaticeva 12, Zagreb",12.9688888888889,BGETP,CZATP
"De Pintelaan 185, GENT","Marchioninistrasse 15, Muenchen",7.86222222222222,BGETP,GBYOR
"De Pintelaan 185, GENT","Martinistrasse 52, HAMBURG",6.34305555555556,BGETP,GHGTP
"De Pintelaan 185, GENT","Liebigstrasse 20, LEIPZIG",7.30305555555556,BGETP,GLPTP
"De Pintelaan 185, GENT","Schiffgraben 44, Hannover",5.12027777777778,BGETP,GNDOR
"De Pintelaan 185, GENT","Moricz Zs. krt. 22., Debrecen",15.2844444444444,BGETP,HDBTP
"De Pintelaan 185, GENT","P. Debyelaan 25, MAASTRICHT",1.78888888888889,BGETP,NMSTP
"De Pintelaan 185, GENT","Zajceva 19, Zagreb",13.0536111111111,BGETP,CZMTP
"De Pintelaan 185, GENT","Fetscherstr. 74, DRESDEN",8.24638888888889,BGETP,GDRTP
"De Pintelaan 185, GENT","Vogelsang 105, HANN. MUENDEN",5.12555555555556,BGETP,GHMTP
"De Pintelaan 185, GENT","Transplantationsbuero, LUEBECK",6.74638888888889,BGETP,GLUTP
"De Pintelaan 185, GENT","Saatwinkler Damm 11-12, Berlin",7.65611111111111,BGETP,GNOOR
"De Pintelaan 185, GENT","Rakoczi ut 2., Pecs",14.7211111111111,BGETP,HPCTP
"De Pintelaan 185, GENT","Geert Groote Plein 8, NIJMEGEN",2.18805555555556,BGETP,NNYTP
"De Pintelaan 185, GENT","808 Route de Lennik, Brussels",0.611111111111111,BGETP,BBRTP
"De Pintelaan 185, GENT","Pauwelstr. 30, AACHEN",1.95166666666667,BGETP,GAKTP
"De Pintelaan 185, GENT","Moorenstrasse 5, DUESSELDORF",2.56555555555556,BGETP,GDUTP
"De Pintelaan 185, GENT","Stadtfelddamm 65, HANNOVER",5.17944444444444,BGETP,GHOTP
"De Pintelaan 185, GENT","Theodor Kutzer Ufer 1-3, MANNHEIM",5.03305555555556,BGETP,GMATP
"De Pintelaan 185, GENT","Lindenallee, Essen",2.58027777777778,BGETP,GNWOR
"De Pintelaan 185, GENT","Pecsi ut 4., Szeged",14.5955555555556,BGETP,HSZTP
"De Pintelaan 185, GENT","Dr. Molewaterplein 40, ROTTERDAM",1.68361111111111,BGETP,NRDTP
"Stenglinstrasse 2, AUGSBURG","Auenbruggerplatz 29, GRAZ",5.1775,GAUTP,AGATP
"Stenglinstrasse 2, AUGSBURG","De Pintelaan 185, GENT",7.56638888888889,GAUTP,BGETP
"Stenglinstrasse 2, AUGSBURG","Stenglinstrasse 2, AUGSBURG",0,GAUTP,GAUTP
"Stenglinstrasse 2, AUGSBURG","Hufelandstrasse 55, ESSEN",5.98222222222222,GAUTP,GESTP
"Stenglinstrasse 2, AUGSBURG","Kirrberger Strasse Geb. 41, HOMBURG/SAAR",3.74194444444444,GAUTP,GHSTP
"Stenglinstrasse 2, AUGSBURG","Ismaningerstr. 22, MUENCHEN",0.994166666666667,GAUTP,GMHTP
"Stenglinstrasse 2, AUGSBURG","Walter-Koehn-str. 1A, Leipzig",4.66888888888889,GAUTP,GOSOR
"Stenglinstrasse 2, AUGSBURG","Karolina ut 19-21., Budapest",7.33194444444445,GAUTP,HUNOR
"Stenglinstrasse 2, AUGSBURG","Postbus 2060, ROTTERDAM",8.09666666666667,GAUTP,NRSTP
"Stenglinstrasse 2, AUGSBURG","Anichstrasse 35, INNSBRUCK",2.57388888888889,GAUTP,AIBTP
"Stenglinstrasse 2, AUGSBURG","10, Avenue Hippocrate, Brussels",6.8975,GAUTP,BLATP
"Stenglinstrasse 2, AUGSBURG","Universitaetsklinik, BOCHUM",6.12722222222222,GAUTP,GBBTP
"Stenglinstrasse 2, AUGSBURG","Pacelli Allee 4, FULDA",3.71055555555556,GAUTP,GFDTP
"Stenglinstrasse 2, AUGSBURG","Lessingstrasse 1, JENA",4.10527777777778,GAUTP,GJETP
"Stenglinstrasse 2, AUGSBURG","Haifa-Allee 2, Mainz",3.8025,GAUTP,GMIOR
"Stenglinstrasse 2, AUGSBURG","4 Rue Barble, LUXEMBOURG",4.90416666666667,GAUTP,LLXTP
"Stenglinstrasse 2, AUGSBURG","Heidelberglaan 100, UTRECHT",7.58666666666667,GAUTP,NUTTP
"Stenglinstrasse 2, AUGSBURG","Heidelberglaan 100, UTRECHT",7.58666666666667,GAUTP,NUWTP
"Stenglinstrasse 2, AUGSBURG","St. Veiterstrasse 47, KLAGENFURT/KAERNTEN",4.66111111111111,GAUTP,AKTTP
"Stenglinstrasse 2, AUGSBURG","Herestraat 49, LEUVEN",6.78611111111111,GAUTP,BLETP
"Stenglinstrasse 2, AUGSBURG","Herestraat 49, LEUVEN",6.78611111111111,GAUTP,BLMTP
"Stenglinstrasse 2, AUGSBURG","Campus Virchow-Klinikum, BERLIN",6.02694444444444,GAUTP,GBCTP
"Stenglinstrasse 2, AUGSBURG","Universitaetsklinik, Haus 33 A, FRANKFURT/MAIN",3.76555555555556,GAUTP,GFMTP
"Stenglinstrasse 2, AUGSBURG","Arnold-Heller-Strasse 3, KIEL",8.65222222222222,GAUTP,GKITP
"Stenglinstrasse 2, AUGSBURG","Marchioninistr. 15, Munich",0.8825,GAUTP,GMLTP
"Stenglinstrasse 2, AUGSBURG","Ernst-Heydemann-Strasse 8, ROSTOCK",7.76305555555556,GAUTP,GROTP
"Stenglinstrasse 2, AUGSBURG","Meibergdreef 9, Amsterdam",7.88861111111111,GAUTP,NAETP
"Stenglinstrasse 2, AUGSBURG","Zaloska 7, LJUBLJANA",5.27611111111111,GAUTP,SLOTP
"Stenglinstrasse 2, AUGSBURG","Fadingerstrasse 1, LINZ",3.3575,GAUTP,AOETP
"Stenglinstrasse 2, AUGSBURG","Avenue de l Hopital, LIEGE",6.24444444444444,GAUTP,BLGTP
"Stenglinstrasse 2, AUGSBURG","Hindenburgdamm 30, Berlin",6.05666666666667,GAUTP,GBETP
"Stenglinstrasse 2, AUGSBURG","Hugstetterstrasse 55, FREIBURG IM BREISGAU",3.75277777777778,GAUTP,GFRTP
"Stenglinstrasse 2, AUGSBURG","Joseph  Stelzmannstrasse 9, KOELN",5.49111111111111,GAUTP,GKKTP
"Stenglinstrasse 2, AUGSBURG","Albert Schweitzerstrasse 33, MUENSTER",6.93388888888889,GAUTP,GMNTP
"Stenglinstrasse 2, AUGSBURG","Transplantationszentrum, STUTTGART",1.74111111111111,GAUTP,GSTTP
"Stenglinstrasse 2, AUGSBURG","De Boelelaan 1117, AMSTERDAM",7.93333333333333,GAUTP,NAVTP
"Stenglinstrasse 2, AUGSBURG","Krankenhausstrasse 9, LINZ",3.37444444444444,GAUTP,AOLTP
"Stenglinstrasse 2, AUGSBURG","Ksaver 200a, Zagreb",6.68694444444444,GAUTP,CHROR
"Stenglinstrasse 2, AUGSBURG","St. Juergenstrasse, BREMEN",7.51027777777778,GAUTP,GBMTP
"Stenglinstrasse 2, AUGSBURG","Klinikstrasse 36, GIESSEN",4.33833333333333,GAUTP,GGITP
"Stenglinstrasse 2, AUGSBURG","Joseph-Stelzmann-Str. 9, KOELN",5.55083333333333,GAUTP,GKLTP
"Stenglinstrasse 2, AUGSBURG","Baldingerstrasse, MARBURG/LAHN",4.66888888888889,GAUTP,GMRTP
"Stenglinstrasse 2, AUGSBURG","Hoppe-Seyler-Strasse 3, TUEBINGEN",2.05361111111111,GAUTP,GTUTP
"Stenglinstrasse 2, AUGSBURG","Postbus 22660, AMSTERDAM",8.06388888888889,GAUTP,NAWTP
"Stenglinstrasse 2, AUGSBURG","Waehringer Guertel 18-20, Wien",4.96833333333333,GAUTP,AWDTP
"Stenglinstrasse 2, AUGSBURG","J. Huttlera 4, Osijek",8.59638888888889,GAUTP,COSTP
"Stenglinstrasse 2, AUGSBURG","Sigmund Freud Strasse 25, BONN-Venusberg",5.42166666666667,GAUTP,GBOTP
"Stenglinstrasse 2, AUGSBURG","Ernst Grube Strasse 40, HALLE/Saale",4.70944444444444,GAUTP,GHATP
"Stenglinstrasse 2, AUGSBURG","Ostmerheimerstrasse 200, Koln (Merheim)",5.38361111111111,GAUTP,GKMTP
"Stenglinstrasse 2, AUGSBURG","Langenbeckstr. 1, Mainz",3.77833333333333,GAUTP,GMZTP
"Stenglinstrasse 2, AUGSBURG","ZIM - Medizinische Klinik I, WUERZBURG",2.65361111111111,GAUTP,GWZTP
"Stenglinstrasse 2, AUGSBURG","Hanzeplein 1, Groningen",8.24777777777778,GAUTP,NGRTP
"Stenglinstrasse 2, AUGSBURG","Abt. Transplantation 09 D, Wien",5.03861111111111,GAUTP,AWGTP
"Stenglinstrasse 2, AUGSBURG","Kresimirova 42, Rijeka",6.60666666666667,GAUTP,CRITP
"Stenglinstrasse 2, AUGSBURG","Friedrichstrasse 10, Stuttgart",1.79277777777778,GAUTP,GBWOR
"Stenglinstrasse 2, AUGSBURG","Im Neuenheimer Feld 110, HEIDELBERG",2.9475,GAUTP,GHBTP
"Stenglinstrasse 2, AUGSBURG","Hellmut-Hartert-Str. 1, KAISERSLAUTERN",3.59527777777778,GAUTP,GKSTP
"Stenglinstrasse 2, AUGSBURG","Maximilianspl. 2, ERLANGEN",2.04611111111111,GAUTP,GNBTP
"Stenglinstrasse 2, AUGSBURG","Baross u. 23-25., Budapest",7.45222222222222,GAUTP,HBSTP
"Stenglinstrasse 2, AUGSBURG","Albinusdreef 2, LEIDEN",8.1475,GAUTP,NLBTP
"Stenglinstrasse 2, AUGSBURG","Wilrijkstraat 10, EDEGEM",7.26777777777778,GAUTP,BANTP
"Stenglinstrasse 2, AUGSBURG","Kispaticeva 12, Zagreb",6.57527777777778,GAUTP,CZATP
"Stenglinstrasse 2, AUGSBURG","Marchioninistrasse 15, Muenchen",0.883611111111111,GAUTP,GBYOR
"Stenglinstrasse 2, AUGSBURG","Martinistrasse 52, HAMBURG",8.04305555555556,GAUTP,GHGTP
"Stenglinstrasse 2, AUGSBURG","Liebigstrasse 20, LEIPZIG",4.66888888888889,GAUTP,GLPTP
"Stenglinstrasse 2, AUGSBURG","Schiffgraben 44, Hannover",6.41527777777778,GAUTP,GNDOR
"Stenglinstrasse 2, AUGSBURG","Moricz Zs. krt. 22., Debrecen",9.33611111111111,GAUTP,HDBTP
"Stenglinstrasse 2, AUGSBURG","P. Debyelaan 25, MAASTRICHT",6.39527777777778,GAUTP,NMSTP
"Stenglinstrasse 2, AUGSBURG","Zajceva 19, Zagreb",6.68527777777778,GAUTP,CZMTP
"Stenglinstrasse 2, AUGSBURG","Fetscherstr. 74, DRESDEN",4.97472222222222,GAUTP,GDRTP
"Stenglinstrasse 2, AUGSBURG","Vogelsang 105, HANN. MUENDEN",5.09694444444444,GAUTP,GHMTP
"Stenglinstrasse 2, AUGSBURG","Transplantationsbuero, LUEBECK",8.27027777777778,GAUTP,GLUTP
"Stenglinstrasse 2, AUGSBURG","Saatwinkler Damm 11-12, Berlin",6.00138888888889,GAUTP,GNOOR
"Stenglinstrasse 2, AUGSBURG","Rakoczi ut 2., Pecs",8.70444444444444,GAUTP,HPCTP
"Stenglinstrasse 2, AUGSBURG","Geert Groote Plein 8, NIJMEGEN",7.05083333333333,GAUTP,NNYTP
"Stenglinstrasse 2, AUGSBURG","808 Route de Lennik, Brussels",7.10444444444445,GAUTP,BBRTP
"Stenglinstrasse 2, AUGSBURG","Pauwelstr. 30, AACHEN",6.07666666666667,GAUTP,GAKTP
"Stenglinstrasse 2, AUGSBURG","Moorenstrasse 5, DUESSELDORF",5.84305555555556,GAUTP,GDUTP
"Stenglinstrasse 2, AUGSBURG","Stadtfelddamm 65, HANNOVER",6.435,GAUTP,GHOTP
"Stenglinstrasse 2, AUGSBURG","Theodor Kutzer Ufer 1-3, MANNHEIM",2.98972222222222,GAUTP,GMATP
